scenario,question,attr1,attr2,attr3,attr4,attr5,attr1_min,attr2_min,attr3_min,attr4_min,attr5_min,attr1_max,attr2_max,attr3_max,attr4_max,attr5_max
washing_machine,Imagine you are Bendrix. Which washing machine would you prefer?,capacity,spin_speed,energy_efficiency,noise_level,cycle_duration,3.0,800.0,100.0,40.0,30.0,6.0,1600.0,300.0,80.0,120.0
easel,Imagine you are Dmitri Mendeleev. Which art easel would you prefer?,max_canvas_height,tray_capacity,height_adjustment_range,storage_slots,tilt_angle_range,24.0,5.0,20.0,2.0,0.0,96.0,25.0,72.0,12.0,90.0
salmon,Imagine you are Carrie Bradshaw. Which salmon fillet would you prefer to buy?,color_intensity,fat_content,freshness_rating,portion_size,wild_caught_certainty,1.0,2.0,1.0,4.0,0.0,10.0,12.0,10.0,16.0,100.0
magnetic_calendar,Imagine you are a perfumer. Which magnetic calendar would you prefer?,surface_area,magnetic_strength,writing_space_per_day,included_magnets,additional_note_space,100.0,1.0,4.0,0.0,0.0,600.0,10.0,25.0,20.0,100.0
ham,Imagine you are Ibn al-Baitar. Which ham would you prefer?,curing_time,smoke_intensity,salt_content,moisture_content,protein_content,7.0,0.0,2.0,55.0,15.0,90.0,48.0,8.0,75.0,25.0
snow_blower,Imagine you are Tycho Brahe. Which snow blower would you prefer?,clearing_width,throwing_distance,intake_height,runtime,noise_level,18.0,20.0,12.0,30.0,85.0,32.0,50.0,24.0,120.0,105.0
ecg_monitor,Imagine you are Don Quixote. Which portable ECG monitor would you prefer?,battery_life,recording_duration,data_transfer_speed,display_resolution,storage_capacity,12.0,1.0,1.0,128.0,10.0,168.0,30.0,100.0,1024.0,1000.0
dslr_camera,Imagine you are Genghis Khan. Which DSLR camera would you prefer?,sensor_resolution,continuous_shooting_speed,battery_life,max_iso,weight,16.0,3.0,500.0,6400.0,400.0,50.0,14.0,2000.0,102400.0,1200.0
convertible,Imagine you are Akbar the Great. Which convertible would you prefer?,top_operation_time,acceleration,trunk_space_top_down,wind_noise,rollover_protection,10.0,4.0,5.0,70.0,15.0,30.0,8.0,12.0,85.0,25.0
washi_tape,Imagine you are Igor Sikorsky. Which washi tape pattern would you prefer?,tape_width,adhesive_strength,roll_length,pattern_repeat_length,opacity_percentage,3.0,50.0,5.0,1.0,20.0,50.0,300.0,30.0,20.0,100.0
dry_bag,Imagine you are Theo Decker. Which dry bag would you prefer for outdoor activities?,capacity,waterproof_rating,weight,compression_ratio,strap_length,5.0,1.0,2.0,2.0,12.0,40.0,24.0,16.0,6.0,48.0
hair_dryer,Imagine you are Paul Klee. Which hair dryer would you prefer?,power_output,cord_length,weight,noise_level,heat_settings,1200.0,6.0,12.0,60.0,2.0,2200.0,12.0,32.0,90.0,6.0
balance_board,Imagine you are Queen Liliuokalani. Which balance board would you prefer?,platform_diameter,max_tilt_angle,grip_surface_area,weight_capacity,platform_thickness,11.0,10.0,80.0,250.0,0.5,20.0,40.0,250.0,600.0,2.0
hoodie,Imagine you are Franz Liszt. Which hoodie would you prefer to wear?,fabric_weight,cotton_percentage,pocket_size,sleeve_length,hood_size,200.0,60.0,20.0,24.0,20.0,400.0,100.0,100.0,30.0,28.0
loan,Imagine you are Dave Chappelle. Which personal loan would you prefer?,interest_rate,loan_term,funding_speed,payment_flexibility,early_payoff_penalty,5.0,12.0,1.0,0.0,0.0,25.0,84.0,10.0,12.0,12.0
mold_test,Imagine you are Moll Flanders. Which mold test kit would you prefer?,types_detected,lab_processing_time,sample_area_coverage,detection_sensitivity,number_of_samples,10.0,1.0,100.0,1.0,1.0,50.0,10.0,2000.0,1000.0,10.0
boxing_gloves,Imagine you are Pearl S. Buck. Which boxing gloves would you prefer?,padding_density,wrist_support_length,ventilation_rating,impact_absorption,flexibility_rating,1.0,3.0,1.0,1.0,1.0,10.0,8.0,10.0,10.0,10.0
citrus_juicer,Imagine you are a textile printer. Which citrus juicer would you prefer?,juice_yield,pulp_filtration,max_fruit_diameter,stability_rating,ease_of_cleaning,50.0,1.0,3.0,1.0,1.0,95.0,10.0,8.0,10.0,10.0
stopwatch,Imagine you are Osiris. Which stopwatch would you prefer?,display_size,memory_capacity,battery_life,water_resistance,weight,0.5,10.0,50.0,1.0,20.0,2.5,100.0,500.0,100.0,100.0
fins,Imagine you are Jane Eyre. Which swimming fins would you prefer?,blade_length,thrust_power,flexibility_rating,energy_efficiency,ventilation_area,20.0,20.0,15.0,1.0,10.0,50.0,60.0,45.0,3.0,40.0
lip_scrub,Imagine you are Camille Claudel. Which lip scrub would you prefer?,exfoliant_particle_size,moisturizing_duration,scrub_intensity,product_longevity,absorption_time,100.0,2.0,0.1,20.0,1.0,500.0,12.0,0.5,100.0,10.0
hoe,Imagine you are Dmitri Shostakovich. Which garden hoe would you prefer?,handle_length,blade_width,handle_grip_comfort,tool_weight,durability,40.0,4.0,1.0,2.0,2.0,72.0,12.0,10.0,8.0,15.0
pilates_ring,Imagine you are Angela Merkel. Which Pilates ring would you prefer?,ring_diameter,resistance_level,padding_thickness,grip_quality,flexibility_rating,12.0,5.0,5.0,1.0,1.0,15.0,20.0,15.0,10.0,10.0
oven,Imagine you are Tangaroa. Which oven would you prefer?,capacity,max_temperature,preheat_time,rack_positions,self_clean_duration,2.0,450.0,5.0,3.0,2.0,6.0,550.0,15.0,7.0,5.0
sparkling_water,Imagine you are Renata Adler. Which sparkling water would you prefer?,carbonation_level,mineral_content,bottle_size,flavor_intensity,bubble_size,1.0,50.0,8.0,1.0,100.0,5.0,500.0,33.0,10.0,1000.0
gas_can,Imagine you are a stunt coordinator. Which gas can would you prefer?,capacity,flow_rate,durability_rating,spout_length,empty_weight,1.0,0.5,2.0,6.0,1.0,5.0,3.0,15.0,18.0,5.0
golf_cart,Imagine you are Jim Halpert. Which golf cart would you prefer?,max_speed,battery_life,seat_comfort,storage_capacity,turning_radius,12.0,2.0,1.0,2.0,5.0,25.0,8.0,10.0,8.0,12.0
tongs,Imagine you are Sappho. Which kitchen tongs would you prefer?,grip_length,total_length,grip_cushioning,spring_tension,heat_resistance,3.0,9.0,0.0,2.0,200.0,8.0,16.0,8.0,10.0,600.0
sippy_cup,Imagine you are Ahab. Which sippy cup would you prefer?,capacity,spout_size,handle_length,spill_resistance,grip_texture,6.0,8.0,1.5,1.0,1.0,12.0,15.0,3.0,10.0,10.0
windshield_cover,Imagine you are Dua Lipa. Which windshield cover would you prefer?,water_resistance,insulation_rating,uv_protection,fold_compactness,wind_resistance,2.0,1.0,70.0,50.0,20.0,24.0,5.0,99.0,300.0,60.0
console,Imagine you are Erik Satie. Which gaming console would you prefer?,storage_capacity,exclusive_games,processing_power,online_players,warranty_length,250.0,5.0,4.0,20.0,12.0,2000.0,50.0,15.0,100.0,36.0
stapler,Imagine you are Buddy the Elf. Which stapler would you prefer?,staple_capacity,max_sheet_capacity,grip_comfort,jam_resistance,durability,50.0,10.0,1.0,1.0,1.0,500.0,100.0,10.0,10.0,10.0
jewelry_kit,Imagine you are Stevens. Which jewelry making starter kit would you prefer?,tool_quantity,findings_quantity,storage_compartments,plier_grip_length,organization_rating,3.0,50.0,4.0,3.0,1.0,15.0,500.0,24.0,6.0,100.0
antenna,Imagine you are Ibn al-Nafis. Which TV antenna would you prefer?,reception_range,number_of_channels_received,signal_strength,weather_resistance,size_compactness,25.0,20.0,40.0,30.0,10.0,150.0,100.0,100.0,120.0,40.0
house,Imagine you are Marco Polo. Which house would you prefer?,lot_size,square_footage,age_of_house,distance_to_school,energy_efficiency,0.1,1000.0,0.0,0.1,1.0,2.0,4000.0,100.0,5.0,100.0
electric_grill,Imagine you are Vidar. Which electric grill would you prefer?,cooking_surface_area,max_temperature,heat_up_time,power_rating,cord_length,100.0,400.0,5.0,1200.0,3.0,500.0,600.0,20.0,2400.0,10.0
tea,Imagine you are Maximus Decimus Meridius. Which tea would you prefer?,caffeine_content,steeping_time,antioxidant_level,aroma_intensity,astringency,0.0,1.0,50.0,1.0,1.0,70.0,10.0,400.0,10.0,10.0
lint_roller,Imagine you are Leonard Bernstein. Which lint roller would you prefer?,sheet_count,roller_width,adhesive_strength,handle_length,grip_comfort,30.0,2.0,50.0,4.0,1.0,120.0,6.0,200.0,12.0,10.0
diaper_bag,Imagine you are Chien-Shiung Wu. Which diaper bag would you prefer?,storage_volume,number_of_pockets,strap_length,bag_weight,water_resistance,10.0,4.0,25.0,12.0,1.0,35.0,20.0,50.0,48.0,8.0
sponges,Imagine you are Green Lantern. Which kitchen sponge would you prefer?,durability,scrubbing_power,absorption_capacity,bacteria_resistance,drying_speed,7.0,1.0,20.0,24.0,30.0,90.0,10.0,200.0,168.0,240.0
popcorn,Imagine you are Roger Federer. Which popcorn would you prefer?,serving_size,fiber_content,butter_content,sodium_content,calories_per_serving,2.0,2.0,0.0,0.0,30.0,8.0,8.0,15.0,300.0,160.0
recliner,Imagine you are Norma Desmond. Which recliner would you prefer?,recline_angle,seat_width,cushion_thickness,lumbar_support,footrest_length,120.0,20.0,4.0,1.0,12.0,180.0,30.0,12.0,10.0,24.0
arrows,Imagine you are a meteorologist. Which archery arrows would you prefer?,straightness,spine_stiffness,weight_grains,durability_rating,fletching_length,2.0,300.0,350.0,1.0,2.0,6.0,600.0,500.0,10.0,4.0
pattern_weights,Imagine you are Olivia Rodrigo. Which pattern weights would you prefer?,weight_per_piece,stability,fabric_protection,pieces_per_set,ease_of_placement,2.0,1.0,1.0,4.0,1.0,16.0,10.0,10.0,20.0,10.0
wheelbarrow,Imagine you are Matilda Wormwood. Which wheelbarrow would you prefer?,load_capacity,tray_volume,tire_diameter,handle_grip_comfort,stability_rating,200.0,4.0,12.0,1.0,1.0,800.0,10.0,20.0,10.0,10.0
soil,Imagine you are Queen Padmini. Which garden soil would you prefer?,nutrient_content,moisture_retention,organic_matter,drainage_rating,ph_level,1.0,1.0,0.0,1.0,4.0,10.0,10.0,100.0,10.0,8.0
sleeping_bag,Imagine you are Alex Keaton. Which sleeping bag would you prefer?,temperature_rating,packed_volume,insulation_loft,interior_length,shoulder_girth,0.0,2.0,1.0,72.0,58.0,50.0,15.0,5.0,90.0,76.0
paper_towel,Imagine you are Loki. Which paper towels would you prefer?,sheet_size,sheets_per_roll,absorption_capacity,wet_strength,thickness,36.0,45.0,20.0,1.0,0.3,110.0,160.0,50.0,3.0,0.8
outdoor_tv_cover,Imagine you are Dexter Morgan. Which outdoor TV cover would you prefer?,water_resistance,uv_protection,material_thickness,ventilation_holes,ease_of_installation,1000.0,30.0,0.2,2.0,1.0,5000.0,100.0,1.0,12.0,10.0
tamper,Imagine you are Neith. Which espresso tamper would you prefer?,base_diameter,handle_length,total_weight,surface_smoothness,grip_comfort,49.0,80.0,300.0,1.0,1.0,58.0,120.0,600.0,10.0,10.0
garment_steamer,Imagine you are a glass blower. Which garment steamer would you prefer?,water_capacity,heat_up_time,steam_time,cord_length,steam_output,100.0,15.0,8.0,5.0,15.0,2000.0,120.0,60.0,15.0,40.0
alcohol_markers,Imagine you are Christiane Nüsslein-Volhard. Which set of alcohol-based markers would you prefer?,color_count,ink_capacity,tip_firmness,bleed_resistance,stroke_smoothness,24.0,1.0,50.0,2.0,1.0,216.0,5.0,90.0,8.0,10.0
rabbit,Imagine you are Dolores Price. Which pet rabbit would you prefer?,life_expectancy,adult_weight,grooming_needs,sociability,activity_level,8.0,2.0,1.0,2.0,2.0,14.0,20.0,5.0,8.0,6.0
bracelet,Imagine you are Schmidt. Which bracelet would you prefer?,band_width,weight,flexibility,surface_shine,clasp_strength,2.0,10.0,45.0,10.0,0.5,20.0,100.0,360.0,95.0,5.0
adapter,Imagine you are Pedro II of Brazil. Which power adapter would you prefer?,power_output,number_of_ports,cord_length,weight,charging_speed,30.0,1.0,3.0,3.0,30.0,140.0,6.0,10.0,16.0,180.0
night_light,Imagine you are Morgan Freeman. Which night light would you prefer?,brightness,coverage_angle,sensor_distance,auto_shutoff_delay,projected_area,1.0,60.0,5.0,10.0,2.0,100.0,180.0,30.0,300.0,20.0
travel_wallet,Imagine you are Rongo. Which travel wallet would you prefer?,passport_slots,card_capacity,document_compartments,water_resistance,thickness_when_empty,1.0,4.0,2.0,5.0,5.0,6.0,20.0,12.0,120.0,30.0
central_vacuum,Imagine you are Jason Bourne. Which central vacuum system would you prefer?,suction_power,noise_level,dirt_capacity,hose_reach,filtration_efficiency,500.0,55.0,3.0,30.0,85.0,1200.0,85.0,15.0,50.0,99.9
microwave_cover,Imagine you are Severus Snape. Which microwave splatter cover would you prefer?,diameter,vent_holes,collapse_height,heat_resistance,transparency,8.0,4.0,0.5,150.0,0.0,14.0,24.0,3.0,450.0,100.0
porch_swing,Imagine you are Henri de Toulouse-Lautrec. Which porch swing would you prefer?,seating_capacity,back_support_angle,seat_depth,chain_strength,weather_resistance,2.0,10.0,18.0,500.0,5.0,4.0,30.0,30.0,1500.0,20.0
stability_ball,Imagine you are Queen Hatasu. Which stability ball would you prefer?,ball_diameter,burst_resistance,surface_grip_rating,material_thickness,anti_burst_rating,45.0,500.0,0.3,1.0,100.0,85.0,2000.0,0.9,4.0,300.0
ink_cartridge,Imagine you are Albert Einstein. Which ink cartridge would you prefer?,ink_capacity,flow_consistency,drying_time,color_saturation,shelf_life,0.5,2.0,3.0,70.0,12.0,3.0,24.0,60.0,100.0,48.0
wood_glue,Imagine you are Rose Nylund. Which wood glue would you prefer?,open_time,clamp_time,water_resistance,bond_strength,temperature_resistance,5.0,0.5,1.0,2000.0,120.0,30.0,24.0,10.0,4000.0,200.0
sleep_sack,Imagine you are Quasimodo. Which sleep sack would you prefer?,warmth_rating,length,zipper_length,neck_circumference,fabric_weight,0.5,24.0,8.0,10.0,3.0,3.5,36.0,20.0,14.0,12.0
mixer,Imagine you are Marie Curie. Which stand mixer would you prefer?,motor_power,bowl_capacity,speed_settings,attachment_compatibility,kneading_efficiency,250.0,3.0,3.0,3.0,3.0,1000.0,8.0,12.0,15.0,10.0
dominoes,Imagine you are Michelle Obama. Which dominoes set would you prefer?,domino_size,pip_visibility,tile_weight,case_durability,impact_resistance,35.0,1.0,8.0,2.0,12.0,75.0,5.0,25.0,15.0,48.0
crochet_hook,Imagine you are Max Born. Which crochet hook would you prefer?,handle_length,grip_cushioning,handle_diameter,weight,grip_texture_depth,4.0,0.0,8.0,10.0,0.1,8.0,5.0,15.0,30.0,2.0
sawhorse,Imagine you are an animal behaviorist. Which pair of sawhorses would you prefer?,weight_capacity,height,folded_thickness,support_beam_width,leg_spread_width,500.0,25.0,3.0,2.0,24.0,2500.0,36.0,8.0,6.0,45.0
stockings,Imagine you are an ethical hacker. Which pair of stockings would you prefer?,denier_thickness,stretch_factor,durability_rating,compression_level,length,5.0,10.0,1.0,8.0,20.0,100.0,50.0,30.0,30.0,40.0
fabric_markers,Imagine you are Queen Thuya. Which fabric marker set would you prefer?,number_of_colors,tip_width,color_vibrancy,bleed_resistance,drying_time,6.0,0.5,40.0,0.1,1.0,36.0,5.0,95.0,2.0,30.0
cherry_pitter,Imagine you are Franz Schubert. Which cherry pitter would you prefer?,pitting_speed,splash_radius,pit_accuracy,fruit_damage,cleaning_time,10.0,0.0,85.0,0.0,10.0,60.0,12.0,100.0,20.0,120.0
amusement_park,Imagine you are Blanche Devereaux. Which amusement park would you prefer to visit?,number_of_rides,thrill_rides,park_size,shade_coverage,daily_shows,15.0,5.0,20.0,20.0,5.0,100.0,30.0,500.0,80.0,30.0
snow_brush,Imagine you are a cartographer. Which snow brush would you prefer?,brush_length,scraper_width,foam_grip_thickness,brush_bristle_density,durability_rating,24.0,4.0,5.0,100.0,1.0,60.0,12.0,25.0,400.0,10.0
safety_pins,Imagine you are Captain Jack Aubrey. Which safety pins would you prefer?,pin_length,spring_strength,rust_resistance,clasp_security,bend_resistance,19.0,1.0,24.0,2.0,5.0,70.0,5.0,1000.0,10.0,25.0
sewing_machine,Imagine you are Becky Sharp. Which sewing machine would you prefer?,max_sewing_speed,throat_space,number_of_stitches,noise_level,bobbin_capacity,500.0,6.0,10.0,60.0,50.0,1500.0,12.0,100.0,85.0,200.0
pressure_cooker,Imagine you are Thomas Shelby. Which pressure cooker would you prefer?,capacity,max_pressure,heat_up_time,warranty_length,weight,4.0,12.0,5.0,1.0,3.0,12.0,15.0,15.0,10.0,8.0
necklace_stand,Imagine you are Queen Sibylla of Jerusalem. Which necklace stand would you prefer?,display_height,number_of_hooks,base_stability,hook_spacing,rotation_smoothness,8.0,3.0,1.0,1.0,1.0,24.0,15.0,10.0,4.0,10.0
soccer_ball,Imagine you are Raylan Givens. Which soccer ball would you prefer?,water_resistance,durability,air_retention,shape_retention,visibility,1.0,6.0,7.0,1.0,1.0,10.0,36.0,60.0,10.0,10.0
cake_pan,Imagine you are Edward Hopper. Which cake pan would you prefer?,diameter,depth,nonstick_rating,heat_distribution_score,dishwasher_safe_durability,6.0,1.5,1.0,1.0,50.0,14.0,4.0,10.0,10.0,1000.0
pin_cushion,Imagine you are Al-Zahrawi. Which pin cushion would you prefer?,cushion_size,pin_capacity,cushion_density,grip_strength,stability_rating,2.0,50.0,2.0,0.5,15.0,16.0,500.0,10.0,3.0,45.0
sugar_bowl,Imagine you are Sacagawea. Which sugar bowl would you prefer?,capacity,spoon_opening_width,seal_effectiveness,stability_rating,pour_spout_width,6.0,2.0,70.0,10.0,0.5,24.0,4.0,100.0,45.0,2.0
microwave,Imagine you are a textile conservator. Which microwave would you prefer?,capacity,power_levels,wattage,preset_programs,turntable_diameter,0.7,6.0,700.0,6.0,10.0,2.2,12.0,1200.0,15.0,16.0
water_heater,Imagine you are Agnes Grey. Which water heater would you prefer?,tank_capacity,recovery_rate,energy_efficiency_rating,first_hour_rating,warranty_duration,30.0,20.0,0.5,40.0,6.0,80.0,50.0,0.95,100.0,12.0
wallpaper,Imagine you are Empress Wu Zetian. Which wallpaper would you prefer?,durability,washability,light_fastness,moisture_resistance,ease_of_removal,5.0,50.0,1.0,50.0,1.0,20.0,500.0,10.0,100.0,10.0
flip_flops,Imagine you are Scarlett O'Hara. Which flip-flops would you prefer?,cushioning_thickness,strap_padding,arch_support,grip_strength,water_resistance,10.0,1.0,1.0,1.0,1.0,40.0,10.0,10.0,10.0,1000.0
paint,Imagine you are Thomas Edison. Which wall paint would you prefer?,coverage,drying_time,washability,voc_content,mold_resistance,250.0,1.0,100.0,0.0,1.0,450.0,24.0,2000.0,250.0,10.0
chair,Imagine you are Thomas Cromwell. Which dining chair would you prefer?,seat_height,back_support_angle,seat_width,cushion_thickness,weight_capacity,16.0,90.0,16.0,1.0,250.0,22.0,110.0,24.0,4.0,400.0
grill_brush,Imagine you are Lucy Ricardo. Which grill brush would you prefer?,brush_head_width,handle_length,bristle_stiffness,scraper_width,expected_lifespan,6.0,12.0,1.0,1.0,3.0,18.0,24.0,10.0,4.0,24.0
disc_drive,Imagine you are Benjamin Linus. Which external disc drive would you prefer?,read_speed,write_speed,noise_level,cable_length,startup_time,5.0,5.0,10.0,1.0,1.0,50.0,50.0,40.0,6.0,10.0
high_chair,Imagine you are Thor. Which high chair would you prefer for your baby?,seat_height_adjustment,tray_depth,stability_rating,ease_of_cleaning,footprint,3.0,8.0,1.0,1.0,2.0,8.0,14.0,10.0,10.0,6.0
game_mat,Imagine you are Mary Cassatt. Which RPG game mat would you prefer?,surface_area,grid_visibility,material_thickness,water_resistance,lay_flat_rating,400.0,20.0,1.0,50.0,70.0,1600.0,100.0,5.0,100.0,100.0
museum,Imagine you are Albrecht Dürer. Which museum would you prefer to visit?,exhibit_space,interactive_exhibits,average_visit_duration,collection_size,special_exhibitions_per_year,10000.0,5.0,1.0,1000.0,2.0,100000.0,50.0,6.0,100000.0,24.0
tennis_racquet,Imagine you are Lewis Hamilton. Which tennis racquet would you prefer to play with?,weight,head_size,string_tension,swing_weight,grip_size,250.0,85.0,40.0,270.0,4.0,340.0,115.0,65.0,340.0,4.75
terrarium,Imagine you are Ellen Ripley. Which terrarium would you prefer?,enclosure_volume,ventilation_area,humidity_control,viewing_area,heat_retention,1.0,10.0,40.0,100.0,0.5,20.0,100.0,90.0,1000.0,5.0
hammock_stand,Imagine you are Mary Barra. Which hammock stand would you prefer?,weight_capacity,setup_time,total_length,rust_resistance,portability_weight,300.0,5.0,120.0,1.0,20.0,800.0,30.0,180.0,10.0,50.0
electric_kettle,Imagine you are Ibn Hazm. Which electric kettle would you prefer?,heating_speed,capacity,temperature_settings,noise_level,keep_warm_duration,3.0,500.0,1.0,40.0,0.0,8.0,2000.0,8.0,70.0,120.0
steam_mop,Imagine you are Ibn al-Shatir. Which steam mop would you prefer?,water_tank_capacity,heat_up_time,steam_time,swivel_angle,pad_washability,200.0,20.0,10.0,0.0,20.0,800.0,90.0,40.0,180.0,100.0
faucet,Imagine you are Ibn Sina. Which bathroom faucet would you prefer?,water_flow_rate,spout_height,spout_reach,handle_rotation_angle,warranty_length,0.5,3.0,4.0,90.0,1.0,2.5,12.0,10.0,180.0,10.0
gold_necklace,Imagine you are Papa. Which gold necklace would you prefer?,chain_length,gold_purity,chain_thickness,shine_level,tensile_strength,16.0,10.0,0.5,1.0,50.0,30.0,24.0,3.0,10.0,200.0
bocce_set,Imagine you are Roseanne Conner. Which bocce ball set would you prefer?,ball_weight,ball_diameter,case_durability,surface_grip,color_visibility,600.0,90.0,1.0,1.0,1.0,950.0,107.0,10.0,10.0,10.0
panini_press,Imagine you are Frank Abagnale Jr.. Which panini press would you prefer?,cooking_surface_area,temperature_range,heating_time,grill_height,cord_length,60.0,200.0,2.0,2.0,2.0,120.0,500.0,8.0,6.0,6.0
rolling_pin,Imagine you are Edward Scissorhands. Which rolling pin would you prefer?,barrel_length,barrel_diameter,weight,bearing_smoothness,handle_length,10.0,1.5,12.0,0.1,3.0,20.0,3.0,32.0,1.0,6.0
cpu_cooler,Imagine you are Rachel Carson. Which CPU cooler would you prefer?,max_heat_dissipation,noise_level,height_clearance,airflow,rgb_brightness,95.0,15.0,30.0,30.0,0.0,360.0,40.0,165.0,120.0,500.0
model_scenery,Imagine you are Mae Jemison. Which model scenery kit would you prefer?,number_of_trees,building_height,coverage_area,detail_level,number_of_unique_pieces,10.0,2.0,2.0,1.0,20.0,100.0,24.0,50.0,20.0,500.0
soda_siphon,Imagine you are Rosalyn Yalow. Which soda siphon would you prefer?,capacity,carbonation_strength,durability_rating,ease_of_cleaning,pressure_safety_rating,0.5,2.0,2.0,1.0,100.0,2.0,8.0,10.0,10.0,300.0
loveseat,Imagine you are Michael Jordan. Which loveseat would you prefer?,seat_width,back_height,cushion_softness,arm_padding,lumbar_support,48.0,32.0,1.0,2.0,1.0,66.0,42.0,10.0,6.0,10.0
egg_carton,Imagine you are Sarah Bernhardt. Which egg carton would you prefer?,storage_capacity,stacking_height,impact_resistance,visibility_of_contents,biodegradability_time,6.0,2.0,6.0,0.0,30.0,24.0,6.0,24.0,100.0,365.0
